ID,RowIndex,ColIndex,LayerIndex,FileDataID,WorldMapOverlayID
10848,0,0,0,272826,84
10849,0,0,0,272806,85
10850,0,1,0,272812,85
10851,1,0,0,440831,85
10852,1,1,0,440832,85
10853,0,0,0,272814,87
10854,0,0,0,272810,88
10855,0,1,0,440834,88
10856,0,0,0,272807,89
10857,0,0,0,272811,91
10858,0,0,0,272815,92
10859,0,0,0,272830,93
10860,0,0,0,272822,94
10861,0,0,0,271398,104
10862,0,1,0,438347,104
10863,0,0,0,271408,107
10864,0,0,0,271409,108
10865,0,0,0,271389,109
10866,0,0,0,271417,113
10867,0,0,0,271400,114
10868,0,0,0,271406,117
10869,1,0,0,438340,117
10870,0,0,0,271567,122
10871,0,1,0,438415,122
10872,0,0,0,271576,124
10873,0,1,0,438414,124
10874,0,0,0,271572,125
10875,0,1,0,438416,125
10876,1,0,0,438417,125
10877,1,1,0,438418,125
10878,0,0,0,271582,126
10879,0,0,0,271573,127
10880,0,1,0,438425,127
10881,0,0,0,271559,128
10882,0,1,0,438412,128
10883,0,0,0,271578,129
10884,0,1,0,438413,129
10885,0,0,0,271557,130
10886,0,1,0,271583,130
10887,0,0,0,271560,131
10888,0,0,0,271584,132
10889,0,1,0,271565,132
10890,1,0,0,438419,132
10891,1,1,0,438420,132
10892,0,0,0,272999,222
10893,1,0,0,440935,222
10894,0,0,0,272996,224
10895,0,0,0,273000,225
10896,0,0,0,273006,226
10897,0,0,0,273009,227
10898,1,0,0,273002,227
10899,0,0,0,273020,229
10900,0,0,0,273015,230
10901,0,0,0,273016,231
10902,0,0,0,273003,232
10903,1,0,0,440921,232
10904,0,0,0,273019,234
10905,0,1,0,440914,234
10906,1,0,0,440915,234
10907,1,1,0,440916,234
10908,0,0,0,273017,235
10909,0,1,0,440930,235
10910,0,0,0,273001,236
10911,0,1,0,440918,236
10912,1,0,0,440919,236
10913,1,1,0,440920,236
10914,0,0,0,271443,242
10915,1,0,0,440585,242
10916,0,0,0,271426,244
10917,0,0,0,271437,248
10918,0,1,0,440582,248
10919,0,0,0,271440,250
10920,0,0,0,271421,252
10921,0,0,0,271422,254
10922,0,0,0,271439,256
10923,0,0,0,271428,258
10924,0,0,0,271427,260
10925,0,0,0,271435,262
10926,0,1,0,271442,262
10927,0,0,0,273143,281
10928,0,0,0,273145,282
10929,0,0,0,273146,284
10930,0,0,0,273126,285
10931,0,0,0,273149,286
10932,1,0,0,441025,286
10933,0,0,0,273125,287
10934,1,0,0,441031,287
10935,0,0,0,273137,288
10936,1,0,0,441027,288
10937,0,0,0,273130,289
10938,0,0,0,273129,290
10939,0,1,0,273133,290
10940,0,0,0,273142,291
10941,0,0,0,273141,292
10942,0,0,0,273124,293
10943,0,1,0,441028,293
10944,1,0,0,441029,293
10945,1,1,0,441030,293
10946,0,0,0,273131,294
10947,0,1,0,273134,294
10948,1,0,0,441032,294
10949,1,1,0,441033,294
10950,0,0,0,272610,304
10951,0,0,0,272600,306
10952,0,1,0,440729,306
10953,1,0,0,440730,306
10954,1,1,0,440731,306
10955,0,0,0,272620,308
10956,0,0,0,272598,309
10957,0,0,0,272616,310
10958,0,0,0,272614,311
10959,0,1,0,440725,311
10960,0,0,0,272613,312
10961,0,0,0,272609,314
10962,0,1,0,440743,314
10963,0,0,0,272599,315
10964,0,1,0,440726,315
10965,1,0,0,440727,315
10966,1,1,0,440728,315
10967,0,0,0,252880,317
10968,0,1,0,252881,317
10969,0,0,0,252894,318
10970,0,1,0,252895,318
10971,1,0,0,252896,318
10972,1,1,0,252897,318
10973,0,0,0,252884,319
10974,0,0,0,252882,320
10975,0,1,0,252883,320
10976,1,0,0,440638,320
10977,1,1,0,440639,320
10978,0,0,0,252890,321
10979,0,1,0,252891,321
10980,1,0,0,252892,321
10981,1,1,0,252893,321
10982,0,0,0,252866,322
10983,0,1,0,252867,322
10984,1,0,0,440636,322
10985,1,1,0,440637,322
10986,0,0,0,252862,323
10987,0,1,0,252863,323
10988,0,0,0,252898,324
10989,0,1,0,440644,324
10990,1,0,0,440645,324
10991,1,1,0,440646,324
10992,0,0,0,252886,325
10993,0,1,0,252887,325
10994,1,0,0,440640,325
10995,1,1,0,440641,325
10996,0,0,0,252899,326
10997,0,1,0,440647,326
10998,1,0,0,440648,326
10999,1,1,0,440649,326
11000,0,0,0,271043,341
11001,1,0,0,438260,341
11002,0,0,0,271045,346
11003,0,1,0,438251,346
11004,0,0,0,271044,349
11005,0,1,0,438263,349
11006,0,0,0,272364,361
11007,0,1,0,272348,361
11008,1,0,0,272358,361
11009,1,1,0,272359,361
11010,0,0,0,272344,362
11011,0,1,0,272354,362
11012,1,0,0,272350,362
11013,1,1,0,272339,362
11014,0,0,0,272335,363
11015,0,1,0,272343,363
11016,0,0,0,272351,364
11017,0,1,0,272340,364
11018,0,0,0,272362,365
11019,0,1,0,272356,365
11020,1,0,0,440664,365
11021,1,1,0,440665,365
11022,0,0,0,272357,366
11023,0,1,0,272342,366
11024,0,0,0,272334,367
11025,0,0,0,272369,369
11026,0,1,0,272363,369
11027,1,0,0,440666,369
11028,1,1,0,440667,369
11029,0,0,0,272347,370
11030,0,1,0,272371,370
11031,0,0,0,272372,371
11032,0,1,0,440661,371
11033,1,0,0,440662,371
11034,1,1,0,440663,371
11035,0,0,0,273156,381
11036,0,1,0,441044,381
11037,1,0,0,441045,381
11038,1,1,0,441046,381
11039,0,0,0,273163,382
11040,0,1,0,441035,382
11041,0,0,0,273171,383
11042,0,1,0,441036,383
11043,0,0,0,273155,384
11044,0,1,0,441055,384
11045,1,0,0,441056,384
11046,1,1,0,441057,384
11047,0,0,0,273178,385
11048,0,1,0,273167,385
11049,0,0,0,273173,387
11050,0,0,0,273164,388
11051,0,1,0,441041,388
11052,0,0,0,273159,389
11053,0,0,0,273174,390
11054,0,1,0,441054,390
11055,0,0,0,273177,392
